"New_Client_Id_Client";"sending_date_group";"is_opened_retreated";"is_clicked";"mailing_id";"email_id";"min_sending_date";"email_count"
294624;2021-12-23;TRUE;TRUE;"2812";"1339224";2021-12-23;1
294624;2022-01-30;FALSE;FALSE;"2812";"1339224";2022-01-30;1
294624;2022-11-25;TRUE;TRUE;"3389";"1339224";2022-11-25;1
294624;2023-06-17;TRUE;TRUE;"3389";"1339224";2023-06-17;1
294625;2019-02-12;TRUE;FALSE;"37;38";"234636";2019-02-12;2
294625;2023-01-24;FALSE;FALSE;"3389";"234636";2023-01-24;1
294642;2020-07-11;FALSE;FALSE;"12;13";"1724881";2020-07-11;2
294643;2019-07-08;FALSE;FALSE;"37;38";"531505";2019-07-08;2
294644;2020-06-19;FALSE;FALSE;"14";"1524133";2020-06-19;1
294644;2020-06-23;FALSE;FALSE;"15";"1524133";2020-06-23;1
294650;2020-05-17;FALSE;FALSE;"12;13";"1515294";2020-05-17;2
294650;2021-11-10;FALSE;FALSE;"37;38";"1515294";2021-11-10;2
294658;2018-09-03;FALSE;FALSE;"12;13";"1290071";2018-09-03;2
294664;2022-05-26;TRUE;FALSE;"2823";"2138742";2022-05-26;1
294664;2022-07-10;FALSE;FALSE;"3151";"2138742";2022-07-10;1
294666;2020-07-03;FALSE;FALSE;"12;13";"1720731";2020-07-03;2
294667;2020-07-04;TRUE;FALSE;"12;13";"1721145";2020-07-04;2
294672;2021-02-04;TRUE;TRUE;"39;40";"818690";2021-02-04;2
294674;2021-10-10;TRUE;FALSE;"37;38";"1469021";2021-10-10;2
294675;2020-02-06;FALSE;FALSE;"12;13";"1491871";2020-02-06;2
294676;2022-07-03;FALSE;FALSE;"2943";"761831";2022-07-03;1
294683;2019-12-25;FALSE;FALSE;"12;13";"1466442";2019-12-25;2
294686;2021-10-14;TRUE;FALSE;"39;40";"1997912";2021-10-14;2
294687;2019-01-21;TRUE;TRUE;"12;13";"1341102";2019-01-21;2
294687;2019-08-21;TRUE;TRUE;"37";"1341102";2019-08-21;1
294687;2020-08-03;FALSE;FALSE;"37;38";"1341102";2020-08-03;2
294694;2020-05-15;FALSE;FALSE;"39;40";"1181730";2020-05-15;2
294694;2021-05-24;FALSE;FALSE;"39";"1181730";2021-05-24;1
294694;2023-03-15;TRUE;TRUE;"3389";"1181730";2023-03-15;1
294700;2022-01-14;TRUE;FALSE;"2812";"431091";2022-01-14;1
294703;2022-06-16;TRUE;FALSE;"2823";"2147235";2022-06-16;1
294706;2022-06-10;FALSE;FALSE;"2823";"2144658";2022-06-10;1
294707;2019-07-10;TRUE;FALSE;"12;13";"1392330";2019-07-10;2
294714;2020-08-27;FALSE;FALSE;"12;13";"1745761";2020-08-27;2
294717;2019-04-25;TRUE;FALSE;"12;13";"805169";2019-04-25;2
294721;2021-03-19;FALSE;FALSE;"39;40";"785037";2021-03-19;2
294722;2020-03-03;FALSE;FALSE;"37;38";"67249";2020-03-03;2
294724;2019-04-04;TRUE;TRUE;"37";"169980";2019-04-04;1
294725;2019-10-17;FALSE;FALSE;"37";"810871";2019-10-17;1
294725;2019-10-21;FALSE;FALSE;"38";"810871";2019-10-21;1
294725;2020-08-09;FALSE;FALSE;"37;38";"810871";2020-08-09;2
294725;2022-05-11;FALSE;FALSE;"2812";"810871";2022-05-11;1
294725;2022-12-24;FALSE;FALSE;"3389";"810871";2022-12-24;1
294725;2023-01-25;TRUE;FALSE;"3389";"810871";2023-01-25;1
294725;2023-07-05;FALSE;FALSE;"3980";"810871";2023-07-05;1
294728;2021-02-08;FALSE;FALSE;"2173";"1889759";2021-02-08;1
294729;2021-09-14;TRUE;FALSE;"39;40";"1400648";2021-09-14;2
294729;2022-02-13;TRUE;FALSE;"2812";"1400648";2022-02-13;1
294731;2020-08-15;FALSE;FALSE;"12;13";"1742177";2020-08-15;2
294732;2023-01-05;FALSE;FALSE;"3389";"175613";2023-01-05;1
294732;2023-07-11;FALSE;FALSE;"3980";"175613";2023-07-11;1
294735;2022-01-19;TRUE;FALSE;"2823";"2087163";2022-01-19;1
